city;localidade;state;date;cum_confirmed;cum_deaths;new_confirmed;new_deaths
Fortaleza;230440;CE;16/03/2020;8;0;8;0
Fortaleza;230440;CE;17/03/2020;9;0;1;0
Fortaleza;230440;CE;18/03/2020;17;0;8;0
Fortaleza;230440;CE;19/03/2020;17;0;0;0
Fortaleza;230440;CE;20/03/2020;63;0;46;0
Fortaleza;230440;CE;21/03/2020;76;0;13;0
Fortaleza;230440;CE;22/03/2020;116;0;40;0
Fortaleza;230440;CE;23/03/2020;151;0;35;0
Fortaleza;230440;CE;24/03/2020;170;0;19;0
Fortaleza;230440;CE;25/03/2020;196;0;26;0
Fortaleza;230440;CE;26/03/2020;224;3;28;3
Fortaleza;230440;CE;27/03/2020;268;3;44;0
Fortaleza;230440;CE;28/03/2020;304;4;36;1
Fortaleza;230440;CE;29/03/2020;338;5;34;1
Fortaleza;230440;CE;30/03/2020;353;5;15;0
Fortaleza;230440;CE;31/03/2020;371;6;18;1
Fortaleza;230440;CE;01/04/2020;413;6;42;0
Fortaleza;230440;CE;02/04/2020;526;0;113;-6
Fortaleza;230440;CE;03/04/2020;600;17;74;17
Fortaleza;230440;CE;04/04/2020;681;18;81;1
Fortaleza;230440;CE;05/04/2020;869;26;188;8
Fortaleza;230440;CE;06/04/2020;929;27;60;1
Fortaleza;230440;CE;07/04/2020;1053;30;124;3
Fortaleza;230440;CE;08/04/2020;1238;45;185;15
Fortaleza;230440;CE;09/04/2020;1283;45;45;0
Fortaleza;230440;CE;10/04/2020;1366;53;83;8
Fortaleza;230440;CE;11/04/2020;1457;58;91;5
Fortaleza;230440;CE;12/04/2020;1529;59;72;1
Fortaleza;230440;CE;13/04/2020;1686;78;157;19
Fortaleza;230440;CE;14/04/2020;1794;86;108;8
Fortaleza;230440;CE;15/04/2020;1946;93;152;7
Fortaleza;230440;CE;16/04/2020;2041;95;95;2
Fortaleza;230440;CE;17/04/2020;2300;119;259;24
Fortaleza;230440;CE;18/04/2020;2562;141;262;22
Fortaleza;230440;CE;19/04/2020;2688;148;126;7
Fortaleza;230440;CE;20/04/2020;2840;164;152;16
Fortaleza;230440;CE;21/04/2020;3018;176;178;12
Fortaleza;230440;CE;22/04/2020;3303;189;285;13
Fortaleza;230440;CE;23/04/2020;3791;212;488;23
Fortaleza;230440;CE;24/04/2020;4063;228;272;16
Fortaleza;230440;CE;25/04/2020;4541;259;478;31
Fortaleza;230440;CE;26/04/2020;4991;295;450;36
Fortaleza;230440;CE;27/04/2020;5326;316;335;21
Fortaleza;230440;CE;28/04/2020;5481;329;155;13
Fortaleza;230440;CE;29/04/2020;5712;349;231;20
Fortaleza;230440;CE;30/04/2020;5970;381;258;32
Fortaleza;230440;CE;01/05/2020;6082;413;112;32
Fortaleza;230440;CE;02/05/2020;6353;498;271;85
Fortaleza;230440;CE;03/05/2020;6417;528;64;30
Fortaleza;230440;CE;04/05/2020;8198;553;1781;25
Fortaleza;230440;CE;05/05/2020;8509;608;311;55
Fortaleza;230440;CE;06/05/2020;9061;651;552;43
Fortaleza;230440;CE;07/05/2020;9669;694;608;43
Fortaleza;230440;CE;08/05/2020;10476;761;807;67
Fortaleza;230440;CE;09/05/2020;10995;809;519;48
Fortaleza;230440;CE;10/05/2020;11556;840;561;31
Fortaleza;230440;CE;11/05/2020;11935;893;379;53
Fortaleza;230440;CE;12/05/2020;12484;950;549;57
Fortaleza;230440;CE;13/05/2020;13037;1022;553;72
Fortaleza;230440;CE;14/05/2020;13777;1039;740;17
Fortaleza;230440;CE;15/05/2020;14690;1137;913;98
Fortaleza;230440;CE;16/05/2020;15162;1163;472;26
Fortaleza;230440;CE;17/05/2020;15371;1174;209;11
Fortaleza;230440;CE;18/05/2020;16169;1253;798;79
Fortaleza;230440;CE;19/05/2020;16784;1307;615;54
Fortaleza;230440;CE;20/05/2020;18010;1333;1226;26
Fortaleza;230440;CE;21/05/2020;18644;1503;634;170
Fortaleza;230440;CE;22/05/2020;19270;1548;626;45
Fortaleza;230440;CE;23/05/2020;19552;1574;282;26
Fortaleza;230440;CE;24/05/2020;19795;1579;243;5
Fortaleza;230440;CE;25/05/2020;20146;1687;351;108
Fortaleza;230440;CE;26/05/2020;20789;1769;643;82
Fortaleza;230440;CE;27/05/2020;20939;1783;150;14
Fortaleza;230440;CE;28/05/2020;21328;1804;389;21
Fortaleza;230440;CE;29/05/2020;21705;1877;377;73
Fortaleza;230440;CE;30/05/2020;23378;1939;1673;62
Fortaleza;230440;CE;31/05/2020;23613;1967;235;28
Fortaleza;230440;CE;01/06/2020;24104;2084;491;117
Fortaleza;230440;CE;02/06/2020;25344;2277;1240;193
Fortaleza;230440;CE;03/06/2020;25726;2334;382;57
Fortaleza;230440;CE;04/06/2020;26514;2424;788;90
Fortaleza;230440;CE;05/06/2020;27074;2453;560;29
Fortaleza;230440;CE;06/06/2020;27320;2459;246;6
Fortaleza;230440;CE;07/06/2020;27411;2458;91;-1
Fortaleza;230440;CE;08/06/2020;27889;2569;478;111
Fortaleza;230440;CE;09/06/2020;28550;2637;661;68
Fortaleza;230440;CE;10/06/2020;29322;2714;772;77
Fortaleza;230440;CE;11/06/2020;29951;2810;629;96
Fortaleza;230440;CE;12/06/2020;30210;2848;259;38
Fortaleza;230440;CE;13/06/2020;30210;2848;0;0
Fortaleza;230440;CE;14/06/2020;30426;2854;216;6
Fortaleza;230440;CE;15/06/2020;30863;2915;437;61
Fortaleza;230440;CE;16/06/2020;30986;3006;123;91
Fortaleza;230440;CE;17/06/2020;31841;3059;855;53
Fortaleza;230440;CE;18/06/2020;32226;3087;385;28
Fortaleza;230440;CE;19/06/2020;32531;3113;305;26
Fortaleza;230440;CE;20/06/2020;32794;3109;263;-4
Fortaleza;230440;CE;21/06/2020;32854;3110;60;1
Fortaleza;230440;CE;22/06/2020;33198;3136;344;26
Fortaleza;230440;CE;23/06/2020;33755;3174;557;38
Fortaleza;230440;CE;24/06/2020;34027;3212;272;38
Fortaleza;230440;CE;25/06/2020;34448;3235;421;23
Fortaleza;230440;CE;26/06/2020;34719;3244;271;9
Fortaleza;230440;CE;27/06/2020;34992;3244;273;0
Fortaleza;230440;CE;28/06/2020;35012;3245;20;1
Fortaleza;230440;CE;29/06/2020;35081;3276;69;31
Fortaleza;230440;CE;30/06/2020;35313;3288;232;12
Fortaleza;230440;CE;01/07/2020;35615;3296;302;8
Fortaleza;230440;CE;02/07/2020;35899;3334;284;38
Fortaleza;230440;CE;03/07/2020;36272;3356;373;22
Fortaleza;230440;CE;04/07/2020;36875;3377;603;21
Fortaleza;230440;CE;05/07/2020;36939;3375;64;-2
Fortaleza;230440;CE;06/07/2020;37071;3387;132;12
Fortaleza;230440;CE;07/07/2020;37338;3398;267;11
Fortaleza;230440;CE;08/07/2020;37621;3448;283;50
Fortaleza;230440;CE;09/07/2020;37724;3465;103;17
Fortaleza;230440;CE;10/07/2020;37943;3499;219;34
Fortaleza;230440;CE;11/07/2020;38039;3498;96;-1
Fortaleza;230440;CE;12/07/2020;38127;3498;88;0
Fortaleza;230440;CE;13/07/2020;38142;3534;15;36
Fortaleza;230440;CE;14/07/2020;38368;3536;226;2
Fortaleza;230440;CE;15/07/2020;38754;3553;386;17
Fortaleza;230440;CE;16/07/2020;38869;3573;115;20
Fortaleza;230440;CE;17/07/2020;39702;3582;833;9
Fortaleza;230440;CE;18/07/2020;39702;3582;0;0
Fortaleza;230440;CE;19/07/2020;39941;3583;239;1
Fortaleza;230440;CE;20/07/2020;39891;3613;-50;30
Fortaleza;230440;CE;21/07/2020;40241;3618;350;5
Fortaleza;230440;CE;22/07/2020;40452;3617;211;-1
Fortaleza;230440;CE;23/07/2020;40683;3643;231;26
Fortaleza;230440;CE;24/07/2020;40992;3659;309;16
Fortaleza;230440;CE;25/07/2020;41150;3662;158;3
Fortaleza;230440;CE;26/07/2020;41204;3663;54;1
Fortaleza;230440;CE;27/07/2020;41253;3665;49;2
Fortaleza;230440;CE;28/07/2020;41658;3689;405;24
Fortaleza;230440;CE;29/07/2020;41912;3690;254;1
Fortaleza;230440;CE;30/07/2020;42029;3689;117;-1
Fortaleza;230440;CE;31/07/2020;41954;3690;-75;1
Fortaleza;230440;CE;01/08/2020;42108;3691;154;1
Fortaleza;230440;CE;02/08/2020;42272;3689;164;-2
Fortaleza;230440;CE;03/08/2020;42245;3696;-27;7
Fortaleza;230440;CE;04/08/2020;42452;3712;207;16
Fortaleza;230440;CE;05/08/2020;42687;3722;235;10
Fortaleza;230440;CE;06/08/2020;42888;3727;201;5
Fortaleza;230440;CE;07/08/2020;43423;3733;535;6
Fortaleza;230440;CE;08/08/2020;43850;3736;427;3
Fortaleza;230440;CE;09/08/2020;43867;3750;17;14
Fortaleza;230440;CE;10/08/2020;44009;3742;142;-8
Fortaleza;230440;CE;11/08/2020;44298;3744;289;2
Fortaleza;230440;CE;12/08/2020;44519;3750;221;6
Fortaleza;230440;CE;13/08/2020;44734;3757;215;7
Fortaleza;230440;CE;14/08/2020;44861;3758;127;1
Salvador;292740;BA;13/03/2020;3;0;3;0
Salvador;292740;BA;14/03/2020;3;0;0;0
Salvador;292740;BA;15/03/2020;4;0;1;0
Salvador;292740;BA;16/03/2020;4;0;0;0
Salvador;292740;BA;17/03/2020;5;0;1;0
Salvador;292740;BA;18/03/2020;17;0;12;0
Salvador;292740;BA;19/03/2020;18;0;1;0
Salvador;292740;BA;20/03/2020;18;0;0;0
Salvador;292740;BA;21/03/2020;23;0;5;0
Salvador;292740;BA;22/03/2020;33;0;10;0
Salvador;292740;BA;23/03/2020;37;0;4;0
Salvador;292740;BA;24/03/2020;45;0;8;0
Salvador;292740;BA;25/03/2020;54;0;9;0
Salvador;292740;BA;26/03/2020;60;0;6;0
Salvador;292740;BA;27/03/2020;78;0;18;0
Salvador;292740;BA;28/03/2020;81;0;3;0
Salvador;292740;BA;29/03/2020;103;1;22;1
Salvador;292740;BA;30/03/2020;117;2;14;1
Salvador;292740;BA;31/03/2020;132;2;15;0
Salvador;292740;BA;01/04/2020;153;2;21;0
Salvador;292740;BA;02/04/2020;167;3;14;1
Salvador;292740;BA;03/04/2020;183;5;16;2
Salvador;292740;BA;04/04/2020;215;5;32;0
Salvador;292740;BA;05/04/2020;244;7;29;2
Salvador;292740;BA;06/04/2020;263;8;19;1
Salvador;292740;BA;07/04/2020;269;10;6;2
Salvador;292740;BA;08/04/2020;292;11;23;1
Salvador;292740;BA;09/04/2020;314;11;22;0
Salvador;292740;BA;10/04/2020;343;11;29;0
Salvador;292740;BA;11/04/2020;355;11;12;0
Salvador;292740;BA;12/04/2020;364;11;9;0
Salvador;292740;BA;13/04/2020;390;11;26;0
Salvador;292740;BA;14/04/2020;428;13;38;2
Salvador;292740;BA;15/04/2020;522;15;94;2
Salvador;292740;BA;16/04/2020;572;18;50;3
Salvador;292740;BA;17/04/2020;643;18;71;0
Salvador;292740;BA;18/04/2020;760;19;117;1
Salvador;292740;BA;19/04/2020;764;22;4;3
Salvador;292740;BA;20/04/2020;824;23;60;1
Salvador;292740;BA;21/04/2020;927;23;103;0
Salvador;292740;BA;22/04/2020;1039;27;112;4
Salvador;292740;BA;23/04/2020;1137;34;98;7
Salvador;292740;BA;24/04/2020;1223;37;86;3
Salvador;292740;BA;25/04/2020;1308;38;85;1
Salvador;292740;BA;26/04/2020;1362;39;54;1
Salvador;292740;BA;27/04/2020;1435;48;73;9
Salvador;292740;BA;28/04/2020;1583;56;148;8
Salvador;292740;BA;29/04/2020;1645;62;62;6
Salvador;292740;BA;30/04/2020;1790;67;145;5
Salvador;292740;BA;01/05/2020;2001;76;211;9
Salvador;292740;BA;02/05/2020;2106;78;105;2
Salvador;292740;BA;03/05/2020;2253;80;147;2
Salvador;292740;BA;04/05/2020;2377;91;124;11
Salvador;292740;BA;05/05/2020;2606;95;229;4
Salvador;292740;BA;06/05/2020;2754;98;148;3
Salvador;292740;BA;07/05/2020;2884;101;130;3
Salvador;292740;BA;08/05/2020;3136;118;252;17
Salvador;292740;BA;09/05/2020;3349;127;213;9
Salvador;292740;BA;10/05/2020;3677;128;328;1
Salvador;292740;BA;11/05/2020;3891;138;214;10
Salvador;292740;BA;12/05/2020;4120;145;229;7
Salvador;292740;BA;13/05/2020;4362;148;242;3
Salvador;292740;BA;14/05/2020;4632;167;270;19
Salvador;292740;BA;15/05/2020;4843;181;211;14
Salvador;292740;BA;16/05/2020;5280;184;437;3
Salvador;292740;BA;17/05/2020;5330;189;50;5
Salvador;292740;BA;18/05/2020;5339;202;9;13
Salvador;292740;BA;19/05/2020;5331;215;-8;13
Salvador;292740;BA;20/05/2020;5331;241;0;26
Salvador;292740;BA;21/05/2020;6880;248;1549;7
Salvador;292740;BA;22/05/2020;7118;257;238;9
Salvador;292740;BA;23/05/2020;8026;264;908;7
Salvador;292740;BA;24/05/2020;8613;303;587;39
Salvador;292740;BA;25/05/2020;8860;314;247;11
Salvador;292740;BA;26/05/2020;9094;328;234;14
Salvador;292740;BA;27/05/2020;9389;357;295;29
Salvador;292740;BA;28/05/2020;9874;390;485;33
Salvador;292740;BA;29/05/2020;10353;421;479;31
Salvador;292740;BA;30/05/2020;10724;443;371;22
Salvador;292740;BA;31/05/2020;11087;453;363;10
Salvador;292740;BA;01/06/2020;11431;474;344;21
Salvador;292740;BA;02/06/2020;12850;493;1419;19
Salvador;292740;BA;03/06/2020;13278;511;428;18
Salvador;292740;BA;04/06/2020;13745;535;467;24
Salvador;292740;BA;05/06/2020;15173;558;1428;23
Salvador;292740;BA;06/06/2020;15691;579;518;21
Salvador;292740;BA;07/06/2020;16001;600;310;21
Salvador;292740;BA;08/06/2020;16001;600;0;0
Salvador;292740;BA;09/06/2020;17176;640;1175;40
Salvador;292740;BA;10/06/2020;18151;674;975;34
Salvador;292740;BA;11/06/2020;18706;707;555;33
Salvador;292740;BA;12/06/2020;19027;720;321;13
Salvador;292740;BA;13/06/2020;19687;728;660;8
Salvador;292740;BA;14/06/2020;19860;742;173;14
Salvador;292740;BA;15/06/2020;20525;752;665;10
Salvador;292740;BA;16/06/2020;21162;775;637;23
Salvador;292740;BA;17/06/2020;21893;800;731;25
Salvador;292740;BA;18/06/2020;21928;827;35;27
Salvador;292740;BA;19/06/2020;22155;854;227;27
Salvador;292740;BA;20/06/2020;23047;884;892;30
Salvador;292740;BA;21/06/2020;23411;904;364;20
Salvador;292740;BA;22/06/2020;23639;919;228;15
Salvador;292740;BA;23/06/2020;24348;953;709;34
Salvador;292740;BA;24/06/2020;25749;991;1401;38
Salvador;292740;BA;25/06/2020;26814;1029;1065;38
Salvador;292740;BA;26/06/2020;27666;1046;852;17
Salvador;292740;BA;27/06/2020;31141;1065;3475;19
Salvador;292740;BA;28/06/2020;32332;1093;1191;28
Salvador;292740;BA;29/06/2020;32599;1129;267;36
Salvador;292740;BA;30/06/2020;33505;1163;906;34
Salvador;292740;BA;01/07/2020;34613;1189;1108;26
Salvador;292740;BA;02/07/2020;35837;1209;1224;20
Salvador;292740;BA;03/07/2020;36813;1234;976;25
Salvador;292740;BA;04/07/2020;38030;1256;1217;22
Salvador;292740;BA;05/07/2020;38467;1277;437;21
Salvador;292740;BA;06/07/2020;38695;1311;228;34
Salvador;292740;BA;07/07/2020;39865;1339;1170;28
Salvador;292740;BA;08/07/2020;40877;1366;1012;27
Salvador;292740;BA;09/07/2020;41471;1378;594;12
Salvador;292740;BA;10/07/2020;42078;1391;607;13
Salvador;292740;BA;11/07/2020;42688;1415;610;24
Salvador;292740;BA;12/07/2020;43034;1424;346;9
Salvador;292740;BA;13/07/2020;43210;1441;176;17
Salvador;292740;BA;14/07/2020;43934;1459;724;18
Salvador;292740;BA;15/07/2020;44548;1483;614;24
Salvador;292740;BA;16/07/2020;45411;1514;863;31
Salvador;292740;BA;17/07/2020;45944;1521;533;7
Salvador;292740;BA;18/07/2020;46315;1528;371;7
Salvador;292740;BA;19/07/2020;46549;1539;234;11
Salvador;292740;BA;20/07/2020;46684;1545;135;6
Salvador;292740;BA;21/07/2020;47373;1559;689;14
Salvador;292740;BA;22/07/2020;48750;1583;1377;24
Salvador;292740;BA;23/07/2020;50156;1605;1406;22
Salvador;292740;BA;24/07/2020;51121;1630;965;25
Salvador;292740;BA;25/07/2020;51989;1636;868;6
Salvador;292740;BA;26/07/2020;52236;1641;247;5
Salvador;292740;BA;27/07/2020;52399;1649;163;8
Salvador;292740;BA;28/07/2020;53500;1655;1101;6
Salvador;292740;BA;29/07/2020;54458;1669;958;14
Salvador;292740;BA;30/07/2020;55478;1714;1020;45
